"county","state","home_affordability","cum_county","cum_home_affordability"
"Albany","New York","3","35.55%","52.66%"
"Lincoln","Tennessee","3","35.58%","52.69%"
"Boone","Indiana","3","35.61%","52.72%"
"Vance","North Carolina","3","35.64%","52.76%"
"Taylor","Wisconsin","3","35.67%","52.79%"
"St. Helena Parish","Louisiana","3","35.7%","52.82%"
"Powell","Kentucky","3","35.73%","52.86%"
"Gonzales","Texas","3","35.77%","52.89%"
"Trigg","Kentucky","3","35.8%","52.92%"
"Hardin","Tennessee","3","35.83%","52.95%"
"Green Lake","Wisconsin","3","35.86%","52.99%"
"Nash","North Carolina","3","35.89%","53.02%"
"New Castle","Delaware","3","35.92%","53.05%"
"Delaware","Ohio","3","35.95%","53.09%"
"Cecil","Maryland","3","35.98%","53.12%"
"Bristol city","Virginia","3","36.01%","53.15%"
"Menard","Texas","3","36.04%","53.18%"
"Lake","South Dakota","3","36.07%","53.22%"
"Lee","Kentucky","3","36.11%","53.25%"
"DeKalb","Alabama","3","36.14%","53.28%"
"Jackson","Florida","3","36.17%","53.32%"
"Cherokee","Texas","3","36.2%","53.35%"
"Niobrara","Wyoming","3","36.23%","53.38%"
"Los Alamos","New Mexico","3","36.26%","53.41%"
"Williams","North Dakota","3","36.29%","53.45%"
"Faulkner","Arkansas","3","36.32%","53.48%"
"Lamar","Georgia","3","36.35%","53.51%"
"Oliver","North Dakota","3","36.38%","53.55%"
"Woodford","Kentucky","3","36.41%","53.58%"
"Caroline","Virginia","3","36.45%","53.61%"
"Scott","Minnesota","3","36.48%","53.64%"
"Anoka","Minnesota","3","36.51%","53.68%"
"Ellis","Kansas","3","36.54%","53.71%"
"Pontotoc","Mississippi","3","36.57%","53.74%"
"Northampton","Pennsylvania","3","36.6%","53.77%"
"Christian","Missouri","3","36.63%","53.81%"
"Hawkins","Tennessee","3","36.66%","53.84%"
"Cheboygan","Michigan","3","36.69%","53.87%"
"Harris","Georgia","3","36.72%","53.91%"
"Winneshiek","Iowa","3","36.75%","53.94%"
"Hamilton","Indiana","3","36.79%","53.97%"
"Lassen","California","3","36.82%","54%"
"Prince George","Virginia","3","36.85%","54.04%"
"Lynchburg city","Virginia","3","36.88%","54.07%"
"Green","Kentucky","3","36.91%","54.1%"
"Pine","Minnesota","3","36.94%","54.13%"
"Texas","Missouri","3","36.97%","54.17%"
"Morton","North Dakota","3","37%","54.2%"
"Piscataquis","Maine","3","37.03%","54.23%"
"Warren","New Jersey","3","37.06%","54.26%"
"Monroe","Missouri","3","37.09%","54.3%"
"Fluvanna","Virginia","3","37.13%","54.33%"
"Pasquotank","North Carolina","3","37.16%","54.36%"
"Smith","Texas","3","37.19%","54.39%"
"Delaware","Pennsylvania","3","37.22%","54.43%"
"Marshall","Alabama","3","37.25%","54.46%"
"Camp","Texas","3","37.28%","54.49%"
"Stutsman","North Dakota","3","37.31%","54.52%"
"Hampton city","Virginia","3","37.34%","54.56%"
"Columbia","Wisconsin","3","37.37%","54.59%"
"Lincoln","Mississippi","3","37.4%","54.62%"
"Dimmit","Texas","3","37.43%","54.65%"
"Jessamine","Kentucky","3","37.47%","54.69%"
"Shelby","Tennessee","3","37.5%","54.72%"
"Orange","Virginia","3","37.53%","54.75%"
"Lafayette Parish","Louisiana","3","37.56%","54.78%"
"Columbia","Pennsylvania","3","37.59%","54.82%"
"Bell","Kentucky","3","37.62%","54.85%"
"Heard","Georgia","3","37.65%","54.88%"
"Stokes","North Carolina","3","37.68%","54.91%"
"Charles","Maryland","3","37.71%","54.95%"
"Monroe","Georgia","3","37.74%","54.98%"
"Rockwall","Texas","3","37.77%","55.01%"
"Benton","Missouri","3","37.81%","55.04%"
"Catoosa","Georgia","3","37.84%","55.08%"
"Allegan","Michigan","3","37.87%","55.11%"
"Wayne","Georgia","3","37.9%","55.14%"
"Saunders","Nebraska","3","37.93%","55.17%"
"Pearl River","Mississippi","3","37.96%","55.21%"
"Clay","Mississippi","3","37.99%","55.24%"
"Delaware","New York","3","38.02%","55.27%"
"Kanabec","Minnesota","3","38.05%","55.3%"
"Liberty","Georgia","3","38.08%","55.33%"
"Hanover","Virginia","3","38.11%","55.37%"
"Roanoke city","Virginia","3","38.15%","55.4%"
"Humphreys","Tennessee","3","38.18%","55.43%"
"Marquette","Wisconsin","3","38.21%","55.46%"
"Troup","Georgia","3","38.24%","55.5%"
"Cleveland","North Carolina","3","38.27%","55.53%"
"Adams","Pennsylvania","3","38.3%","55.56%"
"Cook","Illinois","3","38.33%","55.59%"
"Colorado","Texas","3","38.36%","55.62%"
"Navarro","Texas","3","38.39%","55.66%"
"Clay","Minnesota","3","38.42%","55.69%"
"Boone","Arkansas","3","38.45%","55.72%"
"Charlton","Georgia","3","38.49%","55.75%"
"Maries","Missouri","3","38.52%","55.79%"
"Webster","Missouri","3","38.55%","55.82%"
"Wayne","Mississippi","3","38.58%","55.85%"
"Liberty","Montana","3","38.61%","55.88%"
"Sherburne","Minnesota","3","38.64%","55.91%"
"Butler","Pennsylvania","3","38.67%","55.95%"
"Portage","Wisconsin","3","38.7%","55.98%"
"Tishomingo","Mississippi","3","38.73%","56.01%"
"Pocahontas","West Virginia","3","38.76%","56.04%"
"King William","Virginia","3","38.79%","56.07%"
"Nodaway","Missouri","3","38.83%","56.11%"
"Whitley","Kentucky","3","38.86%","56.14%"
"Botetourt","Virginia","3","38.89%","56.17%"
"Tyler","Texas","3","38.92%","56.2%"
"Van Buren","Michigan","3","38.95%","56.24%"
"Ste. Genevieve","Missouri","3","38.98%","56.27%"
"Robertson","Texas","3","39.01%","56.3%"
"Waushara","Wisconsin","3","39.04%","56.33%"
"Nicollet","Minnesota","3","39.07%","56.36%"
"Wayne","Kentucky","3","39.1%","56.4%"
"Livingston","Michigan","3","39.13%","56.43%"
"Lauderdale","Alabama","3","39.17%","56.46%"
"Greenbrier","West Virginia","3","39.2%","56.49%"
"Beltrami","Minnesota","3","39.23%","56.52%"
"Person","North Carolina","3","39.26%","56.56%"
"Galax city","Virginia","3","39.29%","56.59%"
"Elkhart","Indiana","3","39.32%","56.62%"
"Buckingham","Virginia","3","39.35%","56.65%"
"Newaygo","Michigan","3","39.38%","56.68%"
"Phelps","Missouri","3","39.41%","56.72%"
"Meeker","Minnesota","3","39.44%","56.75%"
"Keith","Nebraska","3","39.47%","56.78%"
"Henry","Kentucky","3","39.51%","56.81%"
"Craighead","Arkansas","3","39.54%","56.84%"
"Roanoke","Virginia","3","39.57%","56.87%"
"El Paso","Texas","3","39.6%","56.91%"
"Le Sueur","Minnesota","3","39.63%","56.94%"
"DeSoto","Mississippi","3","39.66%","56.97%"
"Washington","Kentucky","3","39.69%","57%"
"Trinity","Texas","3","39.72%","57.03%"
"Converse","Wyoming","3","39.75%","57.07%"
"Vernon","Wisconsin","3","39.78%","57.1%"
"Cass","Missouri","3","39.81%","57.13%"
"Monroe","Pennsylvania","3","39.85%","57.16%"
"Shelby","Kentucky","3","39.88%","57.19%"
"Goshen","Wyoming","3","39.91%","57.22%"
"Rock","Minnesota","3","39.94%","57.26%"
"Crawford","Missouri","3","39.97%","57.29%"
"Lowndes","Georgia","3","40%","57.32%"
"Dunn","North Dakota","3","40.03%","57.35%"
"Tuscaloosa","Alabama","3","40.06%","57.38%"
"Cumberland","Pennsylvania","3","40.09%","57.42%"
"Montour","Pennsylvania","3","40.12%","57.45%"
"Fairbanks North Star Borough","Alaska","3","40.15%","57.48%"
"Kershaw","South Carolina","3","40.19%","57.51%"
"Cass","Michigan","3","40.22%","57.54%"
"Moody","South Dakota","3","40.25%","57.57%"
"Charles City","Virginia","3","40.28%","57.61%"
"Garden","Nebraska","3","40.31%","57.64%"
"Wadena","Minnesota","3","40.34%","57.67%"
"Custer","Montana","3","40.37%","57.7%"
"St. Clair","Alabama","3","40.4%","57.73%"
"Talbot","Georgia","3","40.43%","57.76%"
"Somerset","Maine","3","40.46%","57.8%"
"Ripley","Missouri","3","40.49%","57.83%"
"Cumberland","New Jersey","3","40.53%","57.86%"
"East Baton Rouge Parish","Louisiana","3","40.56%","57.89%"
"Adams","Wisconsin","3","40.59%","57.92%"
"Mecosta","Michigan","3","40.62%","57.95%"
"Brazoria","Texas","3","40.65%","57.98%"
"Oregon","Missouri","3","40.68%","58.02%"
"Daviess","Missouri","3","40.71%","58.05%"
"Platte","Nebraska","3","40.74%","58.08%"
"Alexander","North Carolina","3","40.77%","58.11%"
"Wright","Minnesota","3","40.8%","58.14%"
"Jenkins","Georgia","3","40.83%","58.17%"
"Lebanon","Pennsylvania","3","40.87%","58.2%"
"Chilton","Alabama","3","40.9%","58.24%"
"Juniata","Pennsylvania","3","40.93%","58.27%"
"Marion","Indiana","3","40.96%","58.3%"
"Barnwell","South Carolina","3","40.99%","58.33%"
"Patrick","Virginia","3","41.02%","58.36%"
"Franklin","Pennsylvania","3","41.05%","58.39%"
"Ohio","Indiana","3","41.08%","58.42%"
"Colonial Heights city","Virginia","3","41.11%","58.46%"
"Lamar","Mississippi","3","41.14%","58.49%"
"Harford","Maryland","3","41.17%","58.52%"
"Henry","Missouri","3","41.21%","58.55%"
"Nueces","Texas","3","41.24%","58.58%"
"Olmsted","Minnesota","3","41.27%","58.61%"
"Mayes","Oklahoma","3","41.3%","58.64%"
"Clinton","Kentucky","3","41.33%","58.68%"
"Lapeer","Michigan","3","41.36%","58.71%"
"Surry","North Carolina","3","41.39%","58.74%"
"Tucker","West Virginia","3","41.42%","58.77%"
"Porter","Indiana","3","41.45%","58.8%"
"Jackson","Texas","3","41.48%","58.83%"
"Richland","Wisconsin","3","41.51%","58.86%"
"Golden Valley","Montana","3","41.55%","58.89%"
"Erie","New York","3","41.58%","58.93%"
"Ripley","Indiana","3","41.61%","58.96%"
"Sibley","Minnesota","3","41.64%","58.99%"
"Franklin","Mississippi","3","41.67%","59.02%"
"Winnebago","Wisconsin","3","41.7%","59.05%"
"Fort Bend","Texas","3","41.73%","59.08%"
"Washington","Colorado","3","41.76%","59.11%"
"Houston","Minnesota","3","41.79%","59.14%"
"Stewart","Tennessee","3","41.82%","59.18%"
"DeKalb","Illinois","3","41.85%","59.21%"
"Cherokee","Oklahoma","3","41.89%","59.24%"
"St. Mary's","Maryland","3","41.92%","59.27%"
"Union","Pennsylvania","3","41.95%","59.3%"
"Clinton","Missouri","3","41.98%","59.33%"
"Sharp","Arkansas","3","42.01%","59.36%"
"Atoka","Oklahoma","3","42.04%","59.39%"
"Powder River","Montana","3","42.07%","59.43%"
"Kalamazoo","Michigan","3","42.1%","59.46%"
"Dodge","Wisconsin","3","42.13%","59.49%"
"Effingham","Georgia","3","42.16%","59.52%"
"Madison","Ohio","3","42.19%","59.55%"
"George","Mississippi","3","42.23%","59.58%"
"Cumberland","North Carolina","3","42.26%","59.61%"
"Barbour","Alabama","3","42.29%","59.64%"
"Big Horn","Montana","3","42.32%","59.67%"
"Madison","Nebraska","3","42.35%","59.71%"
"Brown","Texas","3","42.38%","59.74%"
"Sheboygan","Wisconsin","3","42.41%","59.77%"
"Sanilac","Michigan","3","42.44%","59.8%"
"Wabasha","Minnesota","3","42.47%","59.83%"
"Oakland","Michigan","3","42.5%","59.86%"
"Carbon","Pennsylvania","3","42.53%","59.89%"
"Clermont","Ohio","3","42.57%","59.92%"
"Hand","South Dakota","3","42.6%","59.95%"
"Jefferson","Kentucky","3","42.63%","59.98%"
"Lawrence","Alabama","3","42.66%","60.02%"
"Charlotte","Virginia","3","42.69%","60.05%"
"King and Queen","Virginia","3","42.72%","60.08%"
"Winona","Minnesota","3","42.75%","60.11%"
"Calumet","Wisconsin","3","42.78%","60.14%"
"Hall","Nebraska","3","42.81%","60.17%"
"Montgomery","Missouri","3","42.84%","60.2%"
"Beaver","Utah","3","42.87%","60.23%"
"Calloway","Kentucky","3","42.91%","60.26%"
"Dearborn","Indiana","3","42.94%","60.29%"
"Muskegon","Michigan","3","42.97%","60.33%"
"Floyd","Georgia","3","43%","60.36%"
"Kosciusko","Indiana","3","43.03%","60.39%"
"Iowa","Wisconsin","3","43.06%","60.42%"
"Leavenworth","Kansas","3","43.09%","60.45%"
"Washington","Virginia","3","43.12%","60.48%"
"Acadia Parish","Louisiana","3","43.15%","60.51%"
"Pike","Alabama","3","43.18%","60.54%"
"Hidalgo","Texas","3","43.21%","60.57%"
"Sweetwater","Wyoming","3","43.25%","60.6%"
"Hancock","Mississippi","3","43.28%","60.63%"
"Marion","Kentucky","3","43.31%","60.67%"
"Scott","Kentucky","3","43.34%","60.7%"
"Seward","Nebraska","3","43.37%","60.73%"
"Chesterfield","South Carolina","3","43.4%","60.76%"
"Washington","Maine","3","43.43%","60.79%"
"Polk","Tennessee","3","43.46%","60.82%"
"Tift","Georgia","3","43.49%","60.85%"
"Sequoyah","Oklahoma","3","43.52%","60.88%"
"Richmond","Virginia","3","43.55%","60.91%"
"Tate","Mississippi","3","43.59%","60.94%"
"Surry","Virginia","3","43.62%","60.97%"
"Nelson","Kentucky","3","43.65%","61%"
"Saluda","South Carolina","3","43.68%","61.04%"
"Autauga","Alabama","3","43.71%","61.07%"
"Tipton","Tennessee","3","43.74%","61.1%"
"Lexington","South Carolina","3","43.77%","61.13%"
"Bossier Parish","Louisiana","3","43.8%","61.16%"
"Yadkin","North Carolina","3","43.83%","61.19%"
"Union Parish","Louisiana","3","43.86%","61.22%"
"Live Oak","Texas","3","43.89%","61.25%"
"Crane","Texas","3","43.93%","61.28%"
"Poquoson city","Virginia","3","43.96%","61.31%"
"Laurens","Georgia","3","43.99%","61.34%"
"Whitfield","Georgia","3","44.02%","61.37%"
"White","Arkansas","3","44.05%","61.4%"
"Somerset","Maryland","3","44.08%","61.43%"
"Morgan","Indiana","3","44.11%","61.47%"
"Van Buren","Arkansas","3","44.14%","61.5%"
"Marshall","South Dakota","3","44.17%","61.53%"
"Tom Green","Texas","3","44.2%","61.56%"
"Reynolds","Missouri","3","44.23%","61.59%"
"Amherst","Virginia","3","44.27%","61.62%"
"Stark","North Dakota","3","44.3%","61.65%"
"Green","Wisconsin","3","44.33%","61.68%"
"Pope","Arkansas","3","44.36%","61.71%"
"Dallas","Iowa","3","44.39%","61.74%"
"Greene","North Carolina","3","44.42%","61.77%"
"Butler","Kentucky","3","44.45%","61.8%"
"Missaukee","Michigan","3","44.48%","61.83%"
"Ralls","Missouri","3","44.51%","61.86%"
"Oldham","Kentucky","3","44.54%","61.89%"
"Lincoln","Nevada","3","44.57%","61.92%"
"Stephens","Texas","3","44.61%","61.95%"
"Montgomery","Arkansas","3","44.64%","61.99%"
"Calvert","Maryland","3","44.67%","62.02%"
"Union","Ohio","3","44.7%","62.05%"
"Warren","Ohio","3","44.73%","62.08%"
"Houston","Tennessee","3","44.76%","62.11%"
"Howard","Arkansas","3","44.79%","62.14%"
"Douglas","Nebraska","3","44.82%","62.17%"
"Hot Springs","Wyoming","3","44.85%","62.2%"
"Henderson","Tennessee","3","44.88%","62.23%"
"Garfield","Washington","3","44.91%","62.26%"
"Berks","Pennsylvania","3","44.95%","62.29%"
"Garfield","Montana","3","44.98%","62.32%"
"Izard","Arkansas","3","45.01%","62.35%"
"Webb","Texas","3","45.04%","62.38%"
"Boyle","Kentucky","3","45.07%","62.41%"
"Turner","South Dakota","3","45.1%","62.44%"
"Johnson","Indiana","3","45.13%","62.47%"
"Menifee","Kentucky","3","45.16%","62.5%"
"Snyder","Pennsylvania","3","45.19%","62.53%"
"Logan","Oklahoma","3","45.22%","62.56%"
"Outagamie","Wisconsin","3","45.26%","62.59%"
"Morgan","Alabama","3","45.29%","62.62%"
"Coryell","Texas","3","45.32%","62.65%"
"DuPage","Illinois","3","45.35%","62.68%"
"Tulsa","Oklahoma","3","45.38%","62.72%"
"Bollinger","Missouri","3","45.41%","62.75%"
"Montmorency","Michigan","3","45.44%","62.78%"
"Bullitt","Kentucky","3","45.47%","62.81%"
"Hughes","South Dakota","3","45.5%","62.84%"
"Lubbock","Texas","3","45.53%","62.87%"
"Walker","Alabama","3","45.56%","62.9%"
"Montgomery","Kentucky","3","45.6%","62.93%"
"Hamilton","Ohio","3","45.63%","62.96%"
"Gosper","Nebraska","3","45.66%","62.99%"
"Clay","Missouri","3","45.69%","63.02%"
"Marlboro","South Carolina","3","45.72%","63.05%"
"Cooper","Missouri","3","45.75%","63.08%"
"Rogers","Oklahoma","3","45.78%","63.11%"
"Owen","Indiana","3","45.81%","63.14%"
"Burlington","New Jersey","3","45.84%","63.17%"
"Chattooga","Georgia","3","45.87%","63.2%"
"Latimer","Oklahoma","3","45.9%","63.23%"
"Presque Isle","Michigan","3","45.94%","63.26%"
"Culberson","Texas","3","45.97%","63.29%"
"Russell","Alabama","3","46%","63.32%"
"Garrard","Kentucky","3","46.03%","63.35%"
"Lexington city","Virginia","3","46.06%","63.38%"
"Monroe","Alabama","3","46.09%","63.41%"
"Charles Mix","South Dakota","3","46.12%","63.44%"
"Bosque","Texas","3","46.15%","63.47%"
"Beadle","South Dakota","3","46.18%","63.5%"
"Richmond","Georgia","3","46.21%","63.53%"
"Miller","Arkansas","3","46.24%","63.56%"
"Camden","New Jersey","3","46.28%","63.59%"
"Val Verde","Texas","3","46.31%","63.62%"
"Rusk","Wisconsin","3","46.34%","63.65%"
"St. Clair","Michigan","3","46.37%","63.68%"
"Hart","Kentucky","3","46.4%","63.71%"
"Franklin","Missouri","3","46.43%","63.74%"
"Spencer","Kentucky","3","46.46%","63.77%"
"Forest","Wisconsin","3","46.49%","63.8%"
"Mackinac","Michigan","3","46.52%","63.83%"
"Gilliam","Oregon","3","46.55%","63.86%"
"McCook","South Dakota","3","46.58%","63.89%"
"McLeod","Minnesota","3","46.62%","63.92%"
"Baldwin","Georgia","3","46.65%","63.95%"
"Racine","Wisconsin","3","46.68%","63.98%"
"Knox","Ohio","3","46.71%","64.01%"
"Anderson","Texas","3","46.74%","64.04%"
"Campbell","Kentucky","3","46.77%","64.07%"
"Ouachita Parish","Louisiana","3","46.8%","64.1%"
"Angelina","Texas","3","46.83%","64.13%"
"Phillips","Montana","3","46.86%","64.16%"
"Hancock","Indiana","3","46.89%","64.19%"
"Fayette","Ohio","3","46.92%","64.22%"
"Lee","South Carolina","3","46.96%","64.25%"
"Boone","Nebraska","3","46.99%","64.28%"
"Grant","Kentucky","3","47.02%","64.31%"
"Alger","Michigan","3","47.05%","64.34%"
"Newton","Missouri","3","47.08%","64.37%"
"Kandiyohi","Minnesota","3","47.11%","64.4%"
"Mecklenburg","Virginia","3","47.14%","64.43%"
"Kenosha","Wisconsin","3","47.17%","64.46%"
"Itasca","Minnesota","3","47.2%","64.49%"
"Perry","Pennsylvania","3","47.23%","64.52%"
"Madison","Iowa","3","47.26%","64.55%"
"Wagoner","Oklahoma","3","47.3%","64.58%"
"Jasper","Missouri","3","47.33%","64.61%"
"Polk","Arkansas","3","47.36%","64.64%"
"Butler","Ohio","3","47.39%","64.67%"
"Glacier","Montana","3","47.42%","64.7%"
"Florence","South Carolina","3","47.45%","64.73%"
"Decatur","Tennessee","3","47.48%","64.76%"
"Jim Wells","Texas","3","47.51%","64.79%"
"Pulaski","Arkansas","3","47.54%","64.82%"
"Lawrence","Kentucky","3","47.57%","64.85%"
"Elmore","Alabama","3","47.6%","64.88%"
"Tunica","Mississippi","3","47.64%","64.91%"
"Jefferson","Alabama","3","47.67%","64.94%"
"Marion","Texas","3","47.7%","64.97%"
"Bienville Parish","Louisiana","3","47.73%","65%"
"Pike","Pennsylvania","3","47.76%","65.03%"
"Wharton","Texas","3","47.79%","65.06%"
"Benton","Mississippi","3","47.82%","65.09%"
"Lamar","Texas","3","47.85%","65.12%"
"Marquette","Michigan","3","47.88%","65.14%"
"Jackson","Missouri","3","47.91%","65.17%"
"Panola","Texas","3","47.94%","65.2%"
"Langlade","Wisconsin","3","47.98%","65.23%"
"San Patricio","Texas","3","48.01%","65.26%"
"Haywood","Tennessee","3","48.04%","65.29%"
"Otsego","Michigan","3","48.07%","65.32%"
"Campbell","Wyoming","3","48.1%","65.35%"
"Franklin","Indiana","3","48.13%","65.38%"
"Crowley","Colorado","3","48.16%","65.41%"
"Wicomico","Maryland","3","48.19%","65.44%"
"Thomas","Georgia","3","48.22%","65.47%"
"Juneau","Wisconsin","3","48.25%","65.5%"
"Clark","Indiana","3","48.28%","65.53%"
"Orangeburg","South Carolina","3","48.32%","65.56%"
"Washington Parish","Louisiana","3","48.35%","65.59%"
"Pulaski","Virginia","3","48.38%","65.62%"
"Lincoln","Kentucky","3","48.41%","65.65%"
"Bee","Texas","3","48.44%","65.68%"
"Hardin","Kentucky","3","48.47%","65.71%"
"Schenectady","New York","3","48.5%","65.74%"
"Geauga","Ohio","3","48.53%","65.77%"
"Kewaunee","Wisconsin","3","48.56%","65.8%"
"Dade","Missouri","3","48.59%","65.82%"
"Adams","Ohio","3","48.62%","65.85%"
"Columbia","Georgia","3","48.66%","65.88%"
"Scott","Virginia","3","48.69%","65.91%"
"Comanche","Texas","3","48.72%","65.94%"
"Brooks","Georgia","3","48.75%","65.97%"
"Barton","Missouri","3","48.78%","66%"
"Medina","Ohio","3","48.81%","66.03%"
"Hill","Texas","3","48.84%","66.06%"
"Barry","Michigan","3","48.87%","66.09%"
"Mills","Texas","3","48.9%","66.12%"
"Portage","Ohio","3","48.93%","66.15%"
"Southampton","Virginia","3","48.96%","66.18%"
"Wheatland","Montana","3","49%","66.21%"
"Iron","Wisconsin","3","49.03%","66.24%"
"Lake","Indiana","3","49.06%","66.27%"
"Jones","Georgia","3","49.09%","66.3%"
"Ottawa","Ohio","3","49.12%","66.32%"
"Mercer","Kentucky","3","49.15%","66.35%"
"Pulaski","Georgia","3","49.18%","66.38%"
"St. Charles","Missouri","3","49.21%","66.41%"
"Fillmore","Minnesota","3","49.24%","66.44%"
"Monroe","Wisconsin","3","49.27%","66.47%"
"Nobles","Minnesota","3","49.3%","66.5%"
"Boone","Kentucky","3","49.34%","66.53%"
"Robeson","North Carolina","3","49.37%","66.56%"
"Marshall","Oklahoma","3","49.4%","66.59%"
"Warren","Iowa","3","49.43%","66.62%"
"Oklahoma","Oklahoma","3","49.46%","66.65%"
"Cole","Missouri","3","49.49%","66.68%"
"Archer","Texas","3","49.52%","66.71%"
"Dodge","Minnesota","3","49.55%","66.73%"
"Howard","Nebraska","3","49.58%","66.76%"
"New Kent","Virginia","3","49.61%","66.79%"
"Floyd","Indiana","3","49.64%","66.82%"
"Pike","Arkansas","3","49.68%","66.85%"
"Hendricks","Indiana","3","49.71%","66.88%"
"Jefferson","Indiana","3","49.74%","66.91%"
"Ontario","New York","3","49.77%","66.94%"
"Trempealeau","Wisconsin","3","49.8%","66.97%"
"Marengo","Alabama","3","49.83%","67%"
"Forrest","Mississippi","3","49.86%","67.03%"
"Pottawatomie","Kansas","3","49.89%","67.05%"
"Hampton","South Carolina","3","49.92%","67.08%"
"Oconto","Wisconsin","3","49.95%","67.11%"
"Andrew","Missouri","3","49.98%","67.14%"
"Cleveland","Oklahoma","3","50.02%","67.17%"
"Pulaski","Kentucky","3","50.05%","67.2%"
"Candler","Georgia","3","50.08%","67.23%"
"Sussex","New Jersey","3","50.11%","67.26%"
"Adams","Mississippi","3","50.14%","67.29%"
"Van Buren","Tennessee","3","50.17%","67.32%"
"Lake","Minnesota","3","50.2%","67.35%"
"Escambia","Alabama","3","50.23%","67.37%"
"Benton","Tennessee","3","50.26%","67.4%"
"Tioga","Pennsylvania","3","50.29%","67.43%"
"Calcasieu Parish","Louisiana","3","50.32%","67.46%"
"Alpena","Michigan","3","50.36%","67.49%"
"Price","Wisconsin","3","50.39%","67.52%"
"Randolph","Georgia","3","50.42%","67.55%"
"Cass","Texas","3","50.45%","67.58%"
"Fond du Lac","Wisconsin","3","50.48%","67.61%"
"Carlton","Minnesota","3","50.51%","67.64%"
"Aiken","South Carolina","3","50.54%","67.67%"
"Sebastian","Arkansas","3","50.57%","67.69%"
"Buffalo","Wisconsin","3","50.6%","67.72%"
"Karnes","Texas","3","50.63%","67.75%"
"Sumter","South Carolina","3","50.66%","67.78%"
"Appling","Georgia","3","50.7%","67.81%"
"Duplin","North Carolina","3","50.73%","67.84%"
"Sullivan","Pennsylvania","3","50.76%","67.87%"
"Grady","Georgia","3","50.79%","67.9%"
"Saline","Arkansas","3","50.82%","67.93%"
"Sarpy","Nebraska","3","50.85%","67.95%"
"Union","Mississippi","3","50.88%","67.98%"
"Lawrence","Missouri","3","50.91%","68.01%"
"Modoc","California","3","50.94%","68.04%"
"Cape Girardeau","Missouri","3","50.97%","68.07%"
"Lycoming","Pennsylvania","3","51%","68.1%"
"Geary","Kansas","3","51.04%","68.13%"
"Marshall","Indiana","3","51.07%","68.16%"
"Perry","Tennessee","3","51.1%","68.19%"
"Uvalde","Texas","3","51.13%","68.21%"
"Scott","Arkansas","3","51.16%","68.24%"
"Kalkaska","Michigan","3","51.19%","68.27%"
"St. Charles Parish","Louisiana","3","51.22%","68.3%"
"Liberty","Florida","3","51.25%","68.33%"
"York","Pennsylvania","3","51.28%","68.36%"
"Bowie","Texas","3","51.31%","68.39%"
"Clearwater","Minnesota","3","51.34%","68.42%"
"Coke","Texas","3","51.38%","68.44%"
"Petroleum","Montana","3","51.41%","68.47%"
"Rockingham","North Carolina","3","51.44%","68.5%"
"Dubuque","Iowa","3","51.47%","68.53%"
"Scott","Indiana","3","51.5%","68.56%"
"Gregg","Texas","3","51.53%","68.59%"
"Morgan","Tennessee","3","51.56%","68.62%"
"Cass","Nebraska","3","51.59%","68.65%"
"Cameron Parish","Louisiana","3","51.62%","68.67%"
"Noble","Ohio","3","51.65%","68.7%"
"Wilcox","Alabama","3","51.68%","68.73%"
"Sanborn","South Dakota","3","51.72%","68.76%"
"Bedford","Pennsylvania","3","51.75%","68.79%"
"Wythe","Virginia","3","51.78%","68.82%"
"Carroll","Mississippi","3","51.81%","68.85%"
"Whitley","Indiana","3","51.84%","68.88%"
"Rankin","Mississippi","3","51.87%","68.9%"
"Waupaca","Wisconsin","3","51.9%","68.93%"
"Craig","Oklahoma","3","51.93%","68.96%"
"Polk","Minnesota","3","51.96%","68.99%"
"Gates","North Carolina","3","51.99%","69.02%"
"Lincoln","Missouri","3","52.02%","69.05%"
"Clinton","Michigan","3","52.06%","69.08%"
"Christian","Kentucky","3","52.09%","69.11%"
"Claiborne","Mississippi","3","52.12%","69.13%"
"Osage","Oklahoma","3","52.15%","69.16%"
"St. Martin Parish","Louisiana","3","52.18%","69.19%"
"Chickasaw","Mississippi","3","52.21%","69.22%"
"Fulton","Pennsylvania","3","52.24%","69.25%"
"Polk","Texas","3","52.27%","69.28%"
"Wilkinson","Mississippi","3","52.3%","69.31%"
"Lafourche Parish","Louisiana","3","52.33%","69.33%"
"Sabine","Texas","3","52.36%","69.36%"
"Marion","Mississippi","3","52.4%","69.39%"
"Alcorn","Mississippi","3","52.43%","69.42%"
"Taylor","Georgia","3","52.46%","69.45%"
"Macomb","Michigan","3","52.49%","69.48%"
"Montcalm","Michigan","3","52.52%","69.51%"
"Schuyler","New York","3","52.55%","69.53%"
"Allen","Indiana","3","52.58%","69.56%"
"Clark","Kentucky","3","52.61%","69.59%"
"Dauphin","Pennsylvania","3","52.64%","69.62%"
"Polk","Iowa","3","52.67%","69.65%"
"Ashland","Ohio","3","52.7%","69.68%"
"Wayne","Nebraska","3","52.74%","69.71%"
"Harrison","Indiana","3","52.77%","69.73%"
"Weakley","Tennessee","3","52.8%","69.76%"
"Midland","Texas","3","52.83%","69.79%"
"DeKalb","Missouri","3","52.86%","69.82%"
"Chambers","Texas","3","52.89%","69.85%"
"Bath","Virginia","3","52.92%","69.88%"
"Brown","Ohio","3","52.95%","69.9%"
"McDuffie","Georgia","3","52.98%","69.93%"
"Lenawee","Michigan","3","53.01%","69.96%"
