"county","state","home_affordability","cum_county","cum_home_affordability"
"Richmond city","Virginia","5","10.05%","20.51%"
"Flagler","Florida","5","10.08%","20.56%"
"Linn","Oregon","5","10.11%","20.61%"
"Fremont","Colorado","5","10.14%","20.66%"
"Emmet","Michigan","5","10.17%","20.71%"
"Amador","California","5","10.2%","20.76%"
"Vilas","Wisconsin","5","10.23%","20.8%"
"Saguache","Colorado","5","10.26%","20.85%"
"Hays","Texas","5","10.29%","20.9%"
"Windham","Vermont","5","10.32%","20.95%"
"Union","New Jersey","5","10.36%","21%"
"Stevens","Washington","5","10.39%","21.05%"
"Nassau","Florida","5","10.42%","21.1%"
"Cumberland","Maine","5","10.45%","21.14%"
"Pasco","Florida","5","10.48%","21.19%"
"Lee","Texas","5","10.51%","21.24%"
"Norfolk","Massachusetts","5","10.54%","21.29%"
"Morgan","Utah","5","10.57%","21.34%"
"Sawyer","Wisconsin","5","10.6%","21.39%"
"Yancey","North Carolina","5","10.63%","21.43%"
"Idaho","Idaho","5","10.66%","21.48%"
"Lake","Florida","5","10.7%","21.53%"
"Madera","California","5","10.73%","21.58%"
"Ocean","New Jersey","5","10.76%","21.63%"
"Elbert","Colorado","5","10.79%","21.68%"
"Custer","Colorado","5","10.82%","21.72%"
"Wheeler","Oregon","5","10.85%","21.77%"
"Siskiyou","California","5","10.88%","21.82%"
"Lewis","Idaho","5","10.91%","21.87%"
"Lake","Colorado","5","10.94%","21.92%"
"Union","Georgia","5","10.97%","21.96%"
"Hillsborough","Florida","5","11%","22.01%"
"Talbot","Maryland","5","11.04%","22.06%"
"Cherokee","North Carolina","5","11.07%","22.11%"
"Haywood","North Carolina","5","11.1%","22.16%"
"Orange","North Carolina","5","11.13%","22.2%"
"Lancaster","Virginia","5","11.16%","22.25%"
"Orange","Florida","5","11.19%","22.3%"
"Kodiak Island Borough","Alaska","5","11.22%","22.35%"
"Sanpete","Utah","5","11.25%","22.39%"
"Del Norte","California","5","11.28%","22.44%"
"Maury","Tennessee","5","11.31%","22.49%"
"Fairfax city","Virginia","5","11.34%","22.54%"
"Tehama","California","5","11.38%","22.58%"
"Shasta","California","5","11.41%","22.63%"
"Jerome","Idaho","5","11.44%","22.68%"
"Wayne","Utah","5","11.47%","22.73%"
"Gooding","Idaho","5","11.5%","22.77%"
"Weber","Utah","5","11.53%","22.82%"
"Ferry","Washington","5","11.56%","22.87%"
"Rappahannock","Virginia","5","11.59%","22.91%"
"Hickory","Missouri","5","11.62%","22.96%"
"Stone","Missouri","5","11.65%","23.01%"
"Pinal","Arizona","5","11.68%","23.06%"
"Pima","Arizona","5","11.72%","23.1%"
"Citrus","Florida","5","11.75%","23.15%"
"Cook","Minnesota","5","11.78%","23.2%"
"Bannock","Idaho","5","11.81%","23.24%"
"Williamsburg city","Virginia","5","11.84%","23.29%"
"Bergen","New Jersey","5","11.87%","23.34%"
"Columbia","Oregon","5","11.9%","23.38%"
"Chittenden","Vermont","5","11.93%","23.43%"
"Swain","North Carolina","5","11.96%","23.48%"
"Bonneville","Idaho","5","11.99%","23.52%"
"Volusia","Florida","5","12.02%","23.57%"
"Hernando","Florida","5","12.06%","23.62%"
"Wilson","Tennessee","5","12.09%","23.66%"
"Monmouth","New Jersey","5","12.12%","23.71%"
"Grays Harbor","Washington","5","12.15%","23.76%"
"Douglas","Colorado","5","12.18%","23.8%"
"Huerfano","Colorado","4","12.21%","23.85%"
"Bennington","Vermont","4","12.24%","23.89%"
"Okanogan","Washington","4","12.27%","23.94%"
"Codington","South Dakota","4","12.3%","23.99%"
"Brazos","Texas","4","12.33%","24.03%"
"Crook","Wyoming","4","12.36%","24.08%"
"Putnam","Tennessee","4","12.4%","24.12%"
"Polk","Florida","4","12.43%","24.17%"
"Fredericksburg city","Virginia","4","12.46%","24.22%"
"Durham","North Carolina","4","12.49%","24.26%"
"DeSoto","Florida","4","12.52%","24.31%"
"Plymouth","Massachusetts","4","12.55%","24.35%"
"Baldwin","Alabama","4","12.58%","24.4%"
"Bay","Florida","4","12.61%","24.45%"
"Nez Perce","Idaho","4","12.64%","24.49%"
"Yellowstone","Montana","4","12.67%","24.54%"
"Levy","Florida","4","12.7%","24.58%"
"Meade","South Dakota","4","12.74%","24.63%"
"Orleans Parish","Louisiana","4","12.77%","24.67%"
"Storey","Nevada","4","12.8%","24.72%"
"Sumner","Tennessee","4","12.83%","24.76%"
"Austin","Texas","4","12.86%","24.81%"
"Glenn","California","4","12.89%","24.85%"
"Clearwater","Idaho","4","12.92%","24.9%"
"Alachua","Florida","4","12.95%","24.94%"
"Leon","Texas","4","12.98%","24.99%"
"Worcester","Maryland","4","13.01%","25.04%"
"Bastrop","Texas","4","13.04%","25.08%"
"St. Johns","Florida","4","13.08%","25.13%"
"Nassau","New York","4","13.11%","25.17%"
"Franklin","North Carolina","4","13.14%","25.22%"
"Davis","Utah","4","13.17%","25.26%"
"Hart","Georgia","4","13.2%","25.31%"
"Kern","California","4","13.23%","25.35%"
"Tensas Parish","Louisiana","4","13.26%","25.4%"
"Waller","Texas","4","13.29%","25.44%"
"Churchill","Nevada","4","13.32%","25.49%"
"Benton","Washington","4","13.35%","25.53%"
"Mecklenburg","North Carolina","4","13.38%","25.58%"
"Rutherford","Tennessee","4","13.42%","25.62%"
"Garfield","Utah","4","13.45%","25.67%"
"Meagher","Montana","4","13.48%","25.71%"
"Marion","Florida","4","13.51%","25.76%"
"Washington","Texas","4","13.54%","25.8%"
"Okeechobee","Florida","4","13.57%","25.84%"
"Northumberland","Virginia","4","13.6%","25.89%"
"Asotin","Washington","4","13.63%","25.93%"
"Santa Cruz","Arizona","4","13.66%","25.98%"
"Winchester city","Virginia","4","13.69%","26.02%"
"Hyde","North Carolina","4","13.72%","26.07%"
"Grant","Washington","4","13.76%","26.11%"
"Stillwater","Montana","4","13.79%","26.16%"
"Tulare","California","4","13.82%","26.2%"
"Lavaca","Texas","4","13.85%","26.24%"
"Belknap","New Hampshire","4","13.88%","26.29%"
"Door","Wisconsin","4","13.91%","26.33%"
"Campbell","South Dakota","4","13.94%","26.38%"
"Oxford","Maine","4","13.97%","26.42%"
"Horry","South Carolina","4","14%","26.47%"
"Caldwell","Texas","4","14.03%","26.51%"
"Camden","Missouri","4","14.06%","26.55%"
"Baker","Oregon","4","14.1%","26.6%"
"Wrangell City and Borough","Alaska","4","14.13%","26.64%"
"Las Animas","Colorado","4","14.16%","26.69%"
"Franklin","Washington","4","14.19%","26.73%"
"Hendry","Florida","4","14.22%","26.77%"
"Lancaster","South Carolina","4","14.25%","26.82%"
"Franklin","Georgia","4","14.28%","26.86%"
"Comal","Texas","4","14.31%","26.91%"
